SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.000000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.100000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.200000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.300000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.400000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.500000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.600000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.700000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.800000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
8.900000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.000000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.100000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.200000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.300000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.400000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.500000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.600000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.700000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.800000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
9.900000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.000000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.100000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.200000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.300000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.400000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.500000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.600000;19;9144;0.406400;5002;5002;0;0;0;0;0;0;0
10.700000;19;9144;0.406400;5000;5002;0;0;0;0;0;0;0
10.800000;19;9144;0.406400;4992;5002;0;0;0;0;0;0;0
10.900000;19;9144;0.406400;4914;5002;0;0;0;0;0;0;0
11.000000;19;9144;0.406400;4677;5002;0;0;0;0;0;0;0
11.100000;19;9144;0.406400;4127;5002;0;0;0;0;0;0;0
11.200000;19;9144;0.406400;3249;5002;0;0;0;0;0;0;0
11.300000;19;9144;0.406400;2219;5002;0;0;0;0;0;0;0
11.400000;19;9144;0.406400;1276;5002;0;0;0;0;0;0;0
11.500000;19;9144;0.406400;1000;7658;0;0;0;0;0;0;0
11.600000;19;9144;0.406400;597;10000;0;0;0;0;0;0;0
11.700000;19;9144;0.406400;297;10000;0;0;0;0;0;0;0
11.800000;19;9144;0.406400;180;10000;0;0;0;0;0;0;0
11.900000;19;9144;0.406400;115;10000;0;0;0;0;0;0;0
12.000000;19;9144;0.406400;117;10000;0;0;0;0;0;0;0
12.100000;19;9144;0.406400;82;10000;0;0;0;0;0;0;0
