SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-2.000000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.900000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.800000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.700000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.600000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.500000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.400000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.300000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.200000;8;3496;0.567901;502;502;0;502;0;0;0;0;0
-1.100000;8;3496;0.567901;500;502;0;502;0;0;0;0;0
-1.000000;8;3496;0.567901;485;502;0;502;0;0;0;0;0
-0.900000;8;3496;0.567901;459;502;0;502;0;0;0;0;0
-0.800000;8;3496;0.567901;379;502;0;502;0;0;0;0;0
-0.700000;8;3496;0.567901;280;502;0;502;0;0;0;0;0
-0.600000;8;3496;0.567901;145;502;0;502;0;0;0;0;0
-0.500000;8;3496;0.567901;100;877;0;877;0;0;0;0;0
-0.400000;8;3496;0.567901;41;1000;0;1000;0;0;0;0;0
-0.300000;8;3496;0.567901;13;1000;0;1000;0;0;0;0;0
-0.200000;8;3496;0.567901;5;1000;0;1000;0;0;0;0;0
