SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
8.500000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.600000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.700000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.800000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
8.900000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.000000;17;7736;0.343822;5001;5002;0;0;0;0;0;0;0
9.100000;17;7736;0.343822;5002;5002;0;0;0;0;0;0;0
9.200000;17;7736;0.343822;4997;5002;0;0;0;0;0;0;0
9.300000;17;7736;0.343822;4944;5002;0;0;0;0;0;0;0
9.400000;17;7736;0.343822;4795;5002;0;0;0;0;0;0;0
9.500000;17;7736;0.343822;4383;5002;0;0;0;0;0;0;0
9.600000;17;7736;0.343822;3557;5002;0;0;0;0;0;0;0
9.700000;17;7736;0.343822;2520;5002;0;0;0;0;0;0;0
9.800000;17;7736;0.343822;1524;5002;0;0;0;0;0;0;0
9.900000;17;7736;0.343822;1000;6640;0;0;0;0;0;0;0
10.000000;17;7736;0.343822;655;10000;0;0;0;0;0;0;0
10.100000;17;7736;0.343822;251;10000;0;0;0;0;0;0;0
10.200000;17;7736;0.343822;78;10000;0;0;0;0;0;0;0
