SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
6.000000;18;7992;0.432749;5002;5002;4918;5002;0;0;0;0;0
7.500000;18;7992;0.432749;5002;5002;0;5002;0;0;0;0;0
7.700000;18;7992;0.432749;5002;5002;0;5002;0;0;0;0;0
7.900000;18;7992;0.432749;5002;5002;0;5002;0;0;0;0;0
8.100000;18;7992;0.432749;5002;5002;0;5002;0;0;0;0;0
8.300000;18;7992;0.432749;4973;5002;0;5002;0;0;0;0;0
8.500000;18;7992;0.432749;4546;5002;0;5002;0;0;0;0;0
8.700000;18;7992;0.432749;2991;5002;0;5002;0;0;0;0;0
8.900000;18;7992;0.432749;1163;5002;0;5002;0;0;0;0;0
9.100000;18;7992;0.432749;456;10000;0;10000;0;0;0;0;0
9.300000;18;7992;0.432749;55;10000;0;10000;0;0;0;0;0
9.500000;18;7992;0.432749;8;10000;0;10000;0;0;0;0;0
