SNR; MCS; TBS; rate; err0; trials0; err1; trial1; err2; trial2; err3; trial3; dci_err
4.000000;12;3432;2.076087;502;502;378;502;0;378;0;0;0
4.200000;12;3432;2.076087;502;502;221;502;0;221;0;0;0
4.400000;12;3432;2.076087;502;502;92;502;0;92;0;0;0
4.600000;12;3432;2.076087;502;502;21;502;0;21;0;0;0
4.800000;12;3432;2.076087;502;502;1;502;0;1;0;0;0
5.000000;12;3432;2.076087;502;502;0;502;0;0;0;0;0
5.200000;12;3432;2.076087;502;502;0;502;0;0;0;0;0
5.400000;12;3432;2.076087;502;502;0;502;0;0;0;0;0
5.600000;12;3432;2.076087;502;502;0;502;0;0;0;0;0
5.800000;12;3432;2.076087;500;502;0;500;0;0;0;0;0
6.000000;12;3432;2.076087;498;502;0;498;0;0;0;0;0
6.200000;12;3432;2.076087;474;502;0;474;0;0;0;0;0
6.400000;12;3432;2.076087;386;502;0;386;0;0;0;0;0
6.600000;12;3432;2.076087;248;502;0;248;0;0;0;0;0
6.800000;12;3432;2.076087;149;502;0;149;0;0;0;0;0
7.000000;12;3432;2.076087;100;993;0;100;0;0;0;0;0
7.200000;12;3432;2.076087;31;1000;0;31;0;0;0;0;0
7.400000;12;3432;2.076087;6;1000;0;6;0;0;0;0;0
