SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
10.000000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
10.200000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
10.400000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
10.600000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
10.800000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
11.000000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
11.200000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
11.400000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
11.600000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
11.800000;22;11448;0.619883;502;502;0;0;0;0;0;0;0
12.000000;22;11448;0.619883;499;502;0;0;0;0;0;0;0
12.200000;22;11448;0.619883;457;502;0;0;0;0;0;0;0
12.400000;22;11448;0.619883;274;502;0;0;0;0;0;0;0
12.600000;22;11448;0.619883;123;502;0;0;0;0;0;0;0
12.800000;22;11448;0.619883;55;1000;0;0;0;0;0;0;0
13.000000;22;11448;0.619883;9;1000;0;0;0;0;0;0;0
