SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
-4.000000;4;1608;0.582609;402;502;200;402;97;200;51;97;0
-3.000000;4;1608;0.582609;332;502;118;332;44;118;11;44;0
-2.000000;4;1608;0.582609;260;502;54;260;10;54;2;10;0
-1.000000;4;1608;0.582609;178;502;18;178;2;18;1;2;0
0.000000;4;1608;0.582609;139;502;6;139;1;6;0;1;0
1.000000;4;1608;0.582609;100;657;3;100;0;3;0;0;0
2.000000;4;1608;0.582609;92;1000;2;92;0;2;0;0;0
3.000000;4;1608;0.582609;56;1000;0;56;0;0;0;0;0
4.000000;4;1608;0.582609;33;1000;0;33;0;0;0;0;0
5.000000;4;1608;0.582609;17;1000;0;17;0;0;0;0;0
6.000000;4;1608;0.582609;10;1000;0;10;0;0;0;0;0
